"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
22,"1","2025-01-25T16:39:59.616718Z",461,"[{""start"":47,""end"":51,""text"":""दिशा"",""labels"":[""NOUN""]},{""start"":66,""end"":72,""text"":""Portal"",""labels"":[""NOUN""]},{""start"":79,""end"":82,""text"":""काम"",""labels"":[""NOUN""]},{""start"":21,""end"":31,""text"":""Department"",""labels"":[""PROPN""]},{""start"":35,""end"":43,""text"":""Commerce"",""labels"":[""PROPN""]},{""start"":59,""end"":65,""text"":""Online"",""labels"":[""PROPN""]},{""start"":5,""end"":10,""text"":""बताया"",""labels"":[""VERB""]},{""start"":11,""end"":17,""text"":""गया है"",""labels"":[""VERB""]},{""start"":83,""end"":89,""text"":""कर रहा"",""labels"":[""VERB""]},{""start"":76,""end"":78,""text"":""भी"",""labels"":[""ADV""]},{""start"":52,""end"":55,""text"":""में"",""labels"":[""ADP""]},{""start"":73,""end"":75,""text"":""पर"",""labels"":[""ADP""]},{""start"":0,""end"":4,""text"":""मुझे"",""labels"":[""PRON""]},{""start"":44,""end"":46,""text"":""इस"",""labels"":[""PRON""]},{""start"":56,""end"":58,""text"":""एक"",""labels"":[""DET""]},{""start"":18,""end"":20,""text"":""कि"",""labels"":[""CONJ""]},{""start"":56,""end"":58,""text"":""एक"",""labels"":[""NUM""]}]",61661.077,"मुझे बताया गया है कि Department of Commerce इस दिशा में एक Online Portal पर भी काम कर रहा है।","2025-01-25T16:39:59.616731Z"
23,"1","2025-01-25T16:45:36.622853Z",462,"[{""start"":0,""end"":3,""text"":""देश"",""labels"":[""NOUN""]},{""start"":7,""end"":18,""text"":""यूनिवर्सिटी"",""labels"":[""NOUN""]},{""start"":20,""end"":25,""text"":""कॉलेज"",""labels"":[""NOUN""]},{""start"":33,""end"":45,""text"":""Institutions"",""labels"":[""NOUN""]},{""start"":56,""end"":63,""text"":""Synergy"",""labels"":[""NOUN""]},{""start"":91,""end"":96,""text"":""जरूरत"",""labels"":[""NOUN""]},{""start"":29,""end"":32,""text"":""R&D"",""labels"":[""PROPN""]},{""start"":97,""end"":99,""text"":""बन"",""labels"":[""VERB""]},{""start"":100,""end"":102,""text"":""गई"",""labels"":[""VERB""]},{""start"":103,""end"":105,""text"":""है"",""labels"":[""VERB""]},{""start"":50,""end"":55,""text"":""बेहतर"",""labels"":[""ADJ""]},{""start"":86,""end"":90,""text"":""बड़ी"",""labels"":[""ADJ""]},{""start"":65,""end"":67,""text"":""आज"",""labels"":[""ADV""]},{""start"":4,""end"":6,""text"":""के"",""labels"":[""ADP""]},{""start"":46,""end"":49,""text"":""में"",""labels"":[""ADP""]},{""start"":67,""end"":73,""text"":""हमारे"",""labels"":[""PRON""]},{""start"":78,""end"":80,""text"":""की"",""labels"":[""PRON""]},{""start"":26,""end"":28,""text"":""और"",""labels"":[""CONJ""]},{""start"":74,""end"":77,""text"":""देश"",""labels"":[""NOUN""]}]",306.424,"देश के यूनिवर्सिटी, कॉलेज और R&D Institutions में बेहतर Synergy, आज हमारे देश की सबसे बड़ी जरूरत बन गई है।","2025-01-25T16:45:36.622872Z"
24,"1","2025-01-25T16:54:00.228769Z",463,"[{""start"":9,""end"":12,""text"":""देश"",""labels"":[""NOUN""]},{""start"":16,""end"":23,""text"":""स्कूलों"",""labels"":[""NOUN""]},{""start"":43,""end"":47,""text"":""Labs"",""labels"":[""NOUN""]},{""start"":61,""end"":70,""text"":""संस्थानों"",""labels"":[""NOUN""]},{""start"":91,""end"":98,""text"":""Centers"",""labels"":[""NOUN""]},{""start"":105,""end"":109,""text"":""फोकस"",""labels"":[""NOUN""]},{""start"":28,""end"":32,""text"":""Atal"",""labels"":[""PROPN""]},{""start"":33,""end"":42,""text"":""Tinkering"",""labels"":[""PROPN""]},{""start"":80,""end"":90,""text"":""Incubation"",""labels"":[""PROPN""]},{""start"":75,""end"":79,""text"":""Atal"",""labels"":[""PROPN""]},{""start"":109,""end"":114,""text"":""किया"",""labels"":[""VERB""]},{""start"":115,""end"":117,""text"":""जा"",""labels"":[""VERB""]},{""start"":118,""end"":121,""text"":""रहा"",""labels"":[""VERB""]},{""start"":122,""end"":124,""text"":""है"",""labels"":[""VERB""]},{""start"":56,""end"":60,""text"":""उच्च"",""labels"":[""ADJ""]},{""start"":13,""end"":15,""text"":""के"",""labels"":[""ADP""]},{""start"":24,""end"":27,""text"":""में"",""labels"":[""ADP""]},{""start"":48,""end"":50,""text"":""से"",""labels"":[""ADP""]},{""start"":71,""end"":74,""text"":""में"",""labels"":[""ADP""]},{""start"":99,""end"":101,""text"":""तक"",""labels"":[""ADP""]},{""start"":102,""end"":104,""text"":""पर"",""labels"":[""ADP""]},{""start"":51,""end"":55,""text"":""लेकर"",""labels"":[""CONJ""]},{""start"":0,""end"":4,""text"":""पहली"",""labels"":[""NUM""]}]",487.00200000000007,"पहली बार देश के स्कूलों में Atal Tinkering Labs से लेकर उच्च संस्थानों में Atal Incubation Centers तक पर फोकस किया जा रहा है।","2025-01-25T16:54:00.228788Z"
25,"1","2025-01-25T17:21:47.509903Z",464,"[{""start"":83,""end"":93,""text"":""Institutes"",""labels"":[""NOUN""]},{""start"":105,""end"":109,""text"":""सेवा"",""labels"":[""NOUN""]},{""start"":78,""end"":82,""text"":""Help"",""labels"":[""NOUN""]},{""start"":0,""end"":13,""text"":""IIT Kharagpur"",""labels"":[""PROPN""]},{""start"":15,""end"":24,""text"":""IIT Delhi"",""labels"":[""PROPN""]},{""start"":28,""end"":31,""text"":""BHU"",""labels"":[""PROPN""]},{""start"":95,""end"":100,""text"":""SATHI"",""labels"":[""PROPN""]},{""start"":117,""end"":120,""text"":""हैं"",""labels"":[""VERB""]},{""start"":113,""end"":116,""text"":""रहे"",""labels"":[""VERB""]},{""start"":110,""end"":112,""text"":""दे"",""labels"":[""VERB""]},{""start"":40,""end"":53,""text"":""Sophisticated"",""labels"":[""ADJ""]},{""start"":54,""end"":64,""text"":""Analytical"",""labels"":[""ADJ""]},{""start"":68,""end"":77,""text"":""Technical"",""labels"":[""ADJ""]},{""start"":102,""end"":104,""text"":""भी"",""labels"":[""ADV""]},{""start"":32,""end"":35,""text"":""में"",""labels"":[""ADP""]},{""start"":25,""end"":27,""text"":""और"",""labels"":[""CONJ""]},{""start"":65,""end"":67,""text"":""और"",""labels"":[""CONJ""]},{""start"":36,""end"":39,""text"":""तीन"",""labels"":[""NUM""]}]",285.411,"IIT Kharagpur, IIT Delhi और BHU में तीन Sophisticated Analytical और Technical Help Institutes (SATHI) भी सेवा दे रहे हैं।","2025-01-25T17:21:47.509919Z"
26,"1","2025-01-25T18:33:45.277947Z",465,"[{""start"":0,""end"":3,""text"":""देश"",""labels"":[""NOUN""]},{""start"":49,""end"":56,""text"":""निर्माण"",""labels"":[""NOUN""]},{""start"":17,""end"":25,""text"":""National"",""labels"":[""PROPN""]},{""start"":26,""end"":34,""text"":""Research"",""labels"":[""PROPN""]},{""start"":35,""end"":45,""text"":""Foundation"",""labels"":[""PROPN""]},{""start"":57,""end"":61,""text"":""किया"",""labels"":[""VERB""]},{""start"":62,""end"":64,""text"":""जा"",""labels"":[""VERB""]},{""start"":65,""end"":68,""text"":""रहा"",""labels"":[""VERB""]},{""start"":69,""end"":71,""text"":""है"",""labels"":[""VERB""]},{""start"":46,""end"":48,""text"":""का"",""labels"":[""ADP""]},{""start"":4,""end"":7,""text"":""में"",""labels"":[""ADP""]},{""start"":8,""end"":12,""text"":""पहली"",""labels"":[""NUM""]}]",4039.382,"देश में पहली बार National Research Foundation का निर्माण किया जा रहा है।","2025-01-25T18:33:45.277961Z"
27,"1","2025-01-25T18:44:50.083036Z",466,"[{""start"":5,""end"":13,""text"":""research"",""labels"":[""NOUN""]},{""start"":23,""end"":32,""text"":""संस्थानों"",""labels"":[""NOUN""]},{""start"":47,""end"":56,""text"":""Structure"",""labels"":[""NOUN""]},{""start"":94,""end"":101,""text"":""Linkage"",""labels"":[""NOUN""]},{""start"":105,""end"":107,""text"":""बल"",""labels"":[""NOUN""]},{""start"":36,""end"":46,""text"":""Governance"",""labels"":[""PROPN""]},{""start"":65,""end"":68,""text"":""R&D"",""labels"":[""PROPN""]},{""start"":70,""end"":78,""text"":""Academia"",""labels"":[""PROPN""]},{""start"":82,""end"":90,""text"":""Industry"",""labels"":[""PROPN""]},{""start"":108,""end"":114,""text"":""मिलेगा"",""labels"":[""VERB""]},{""start"":17,""end"":22,""text"":""जुड़े"",""labels"":[""ADJ""]},{""start"":14,""end"":16,""text"":""से"",""labels"":[""ADP""]},{""start"":33,""end"":35,""text"":""के"",""labels"":[""ADP""]},{""start"":102,""end"":104,""text"":""को"",""labels"":[""ADP""]},{""start"":60,""end"":64,""text"":""लेकर"",""labels"":[""ADP""]},{""start"":57,""end"":59,""text"":""से"",""labels"":[""ADP""]},{""start"":0,""end"":4,""text"":""इससे"",""labels"":[""PRON""]},{""start"":91,""end"":93,""text"":""की"",""labels"":[""PRON""]},{""start"":79,""end"":81,""text"":""और"",""labels"":[""CONJ""]}]",661.828,"इससे research से जुड़े संस्थानों के Governance Structure से लेकर R&D, Academia और Industry की Linkage को बल मिलेगा।","2025-01-25T18:44:50.083057Z"
28,"1","2025-01-25T18:48:04.507685Z",467,"[{""start"":44,""end"":56,""text"":""आत्मनिर्भरता"",""labels"":[""NOUN""]},{""start"":0,""end"":6,""text"":""Future"",""labels"":[""PROPN""]},{""start"":7,""end"":11,""text"":""Fuel"",""labels"":[""PROPN""]},{""start"":13,""end"":18,""text"":""Green"",""labels"":[""PROPN""]},{""start"":19,""end"":25,""text"":""Energy"",""labels"":[""PROPN""]},{""start"":33,""end"":39,""text"":""Energy"",""labels"":[""PROPN""]},{""start"":76,""end"":78,""text"":""है"",""labels"":[""VERB""]},{""start"":64,""end"":68,""text"":""बहुत"",""labels"":[""ADJ""]},{""start"":69,""end"":75,""text"":""ज़रूरी"",""labels"":[""ADJ""]},{""start"":40,""end"":43,""text"":""में"",""labels"":[""ADP""]},{""start"":57,""end"":59,""text"":""के"",""labels"":[""ADP""]},{""start"":60,""end"":63,""text"":""लिए"",""labels"":[""ADP""]},{""start"":27,""end"":32,""text"":""हमारी"",""labels"":[""PRON""]}]",120.375,"Future Fuel, Green Energy, हमारी Energy में आत्मनिर्भरता के लिए बहुत ज़रूरी है।","2025-01-25T18:48:04.507703Z"
29,"1","2025-01-25T18:49:24.147581Z",468,"[{""start"":0,""end"":3,""text"":""बजट"",""labels"":[""NOUN""]},{""start"":44,""end"":51,""text"":""Mission"",""labels"":[""NOUN""]},{""start"":69,""end"":79,""text"":""प्रोत्साहन"",""labels"":[""NOUN""]},{""start"":14,""end"":22,""text"":""National"",""labels"":[""PROPN""]},{""start"":23,""end"":31,""text"":""Language"",""labels"":[""PROPN""]},{""start"":32,""end"":43,""text"":""Translation"",""labels"":[""PROPN""]},{""start"":80,""end"":86,""text"":""मिलेगा"",""labels"":[""VERB""]},{""start"":8,""end"":13,""text"":""घोषित"",""labels"":[""ADJ""]},{""start"":64,""end"":68,""text"":""बहुत"",""labels"":[""ADJ""]},{""start"":4,""end"":7,""text"":""में"",""labels"":[""ADP""]},{""start"":52,""end"":54,""text"":""से"",""labels"":[""ADP""]},{""start"":60,""end"":63,""text"":""लिए"",""labels"":[""ADP""]},{""start"":55,""end"":59,""text"":""इसके"",""labels"":[""PRON""]}]",78.248,"बजट में घोषित National Language Translation Mission से इसके लिए बहुत प्रोत्साहन मिलेगा।","2025-01-25T18:49:24.147605Z"
30,"1","2025-01-25T18:51:47.100480Z",469,"[{""start"":13,""end"":22,""text"":""institute"",""labels"":[""NOUN""]},{""start"":34,""end"":45,""text"":""institution"",""labels"":[""NOUN""]},{""start"":49,""end"":52,""text"":""नाम"",""labels"":[""NOUN""]},{""start"":53,""end"":62,""text"":""विवेकानंद"",""labels"":[""PROPN""]},{""start"":75,""end"":83,""text"":""Research"",""labels"":[""PROPN""]},{""start"":84,""end"":95,""text"":""Institution"",""labels"":[""PROPN""]},{""start"":63,""end"":74,""text"":""Agriculture"",""labels"":[""PROPN""]},{""start"":23,""end"":27,""text"":""बनाई"",""labels"":[""VERB""]},{""start"":28,""end"":30,""text"":""थी"",""labels"":[""VERB""]},{""start"":106,""end"":109,""text"":""रखा"",""labels"":[""VERB""]},{""start"":110,""end"":112,""text"":""था"",""labels"":[""VERB""]},{""start"":46,""end"":48,""text"":""का"",""labels"":[""ADP""]},{""start"":96,""end"":98,""text"":""के"",""labels"":[""ADP""]},{""start"":103,""end"":105,""text"":""से"",""labels"":[""ADP""]},{""start"":0,""end"":9,""text"":""उन्‍होंने"",""labels"":[""PRON""]},{""start"":10,""end"":12,""text"":""यह"",""labels"":[""PRON""]},{""start"":31,""end"":33,""text"":""उस"",""labels"":[""PRON""]},{""start"":99,""end"":102,""text"":""नाम"",""labels"":[""NOUN""]}]",140.841,"उन्‍होंने यह institute बनाई थी उस institution का नाम विवेकानंद Agriculture Research Institution के नाम से रखा था।","2025-01-25T18:51:47.100500Z"
31,"1","2025-01-25T19:52:06.480399Z",470,"[{""start"":50,""end"":53,""text"":""पहल"",""labels"":[""NOUN""]},{""start"":78,""end"":83,""text"":""देशों"",""labels"":[""NOUN""]},{""start"":95,""end"":99,""text"":""बधाई"",""labels"":[""NOUN""]},{""start"":0,""end"":7,""text"":""African"",""labels"":[""PROPN""]},{""start"":8,""end"":19,""text"":""Continental"",""labels"":[""PROPN""]},{""start"":20,""end"":24,""text"":""Free"",""labels"":[""PROPN""]},{""start"":25,""end"":30,""text"":""Trade"",""labels"":[""PROPN""]},{""start"":31,""end"":35,""text"":""Area"",""labels"":[""PROPN""]},{""start"":100,""end"":104,""text"":""देता"",""labels"":[""VERB""]},{""start"":105,""end"":108,""text"":""हूँ"",""labels"":[""VERB""]},{""start"":39,""end"":49,""text"":""महत्वपूर्ण"",""labels"":[""ADJ""]},{""start"":87,""end"":94,""text"":""हार्दिक"",""labels"":[""ADJ""]},{""start"":36,""end"":38,""text"":""की"",""labels"":[""ADP""]},{""start"":54,""end"":60,""text"":""के लिए"",""labels"":[""ADP""]},{""start"":62,""end"":65,""text"":""मैं"",""labels"":[""PRON""]},{""start"":66,""end"":69,""text"":""सभी"",""labels"":[""PRON""]},{""start"":70,""end"":77,""text"":""अफ़्रीकी"",""labels"":[""X""]}]",3617.725,"African Continental Free Trade Area की महत्वपूर्ण पहल के लिए, मैं सभी अफ़्रीकी देशों को हार्दिक बधाई देता हूँ।","2025-01-25T19:52:06.480420Z"
32,"1","2025-01-25T19:56:32.183945Z",471,"[{""start"":37,""end"":42,""text"":""दशकों"",""labels"":[""NOUN""]},{""start"":68,""end"":73,""text"":""लोगों"",""labels"":[""NOUN""]},{""start"":77,""end"":82,""text"":""गरीबी"",""labels"":[""NOUN""]},{""start"":0,""end"":4,""text"":""Free"",""labels"":[""PROPN""]},{""start"":5,""end"":10,""text"":""Trade"",""labels"":[""PROPN""]},{""start"":15,""end"":23,""text"":""Commerce"",""labels"":[""PROPN""]},{""start"":91,""end"":97,""text"":""निकाला"",""labels"":[""VERB""]},{""start"":98,""end"":100,""text"":""है"",""labels"":[""VERB""]},{""start"":27,""end"":32,""text"":""पिछले"",""labels"":[""ADJ""]},{""start"":86,""end"":90,""text"":""बाहर"",""labels"":[""ADJ""]},{""start"":43,""end"":46,""text"":""में"",""labels"":[""ADP""]},{""start"":74,""end"":76,""text"":""को"",""labels"":[""ADP""]},{""start"":83,""end"":85,""text"":""से"",""labels"":[""ADP""]},{""start"":33,""end"":36,""text"":""तीन"",""labels"":[""DET""]},{""start"":11,""end"":14,""text"":""and"",""labels"":[""CONJ""]},{""start"":47,""end"":55,""text"":""hundreds"",""labels"":[""NUM""]},{""start"":59,""end"":67,""text"":""millions"",""labels"":[""NUM""]},{""start"":56,""end"":58,""text"":""of"",""labels"":[""ADP""]}]",260.905,"Free Trade and Commerce ने पिछले तीन दशकों में hundreds of millions लोगों को गरीबी से बाहर निकाला है।","2025-01-25T19:56:32.183966Z"
