"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
21,"1","No Trucks","2025-01-23T19:29:42.098048Z",1,"/data/upload/1/5ba915a9-img_442.jpg",229.792,"2025-01-23T19:29:42.098069Z"
2,"1","No Trucks","2025-01-23T19:27:28.199838Z",2,"/data/upload/1/16d4116e-img_443.jpg",9.58,"2025-01-23T19:27:28.199852Z"
3,"1","No Trucks","2025-01-23T19:27:31.698503Z",3,"/data/upload/1/d5cecfb7-img_444.jpg",11.701,"2025-01-23T19:27:31.698522Z"
5,"1","No Trucks","2025-01-23T19:28:51.550575Z",4,"/data/upload/1/a5f527d1-img_445.jpg",4.711,"2025-01-23T19:28:51.550594Z"
4,"1","No Trucks","2025-01-23T19:28:45.086728Z",5,"/data/upload/1/f149021d-img_446.jpg",7.903,"2025-01-23T19:28:45.086739Z"
6,"1","No Trucks","2025-01-23T19:28:54.396373Z",6,"/data/upload/1/06e5bf1c-img_447.jpg",7.372,"2025-01-23T19:28:54.396394Z"
7,"1","No Trucks","2025-01-23T19:28:57.186650Z",7,"/data/upload/1/8c1c3b5d-img_448.jpg",4.931,"2025-01-23T19:28:57.186669Z"
8,"1","No Trucks","2025-01-23T19:28:59.738541Z",8,"/data/upload/1/11d232ab-img_449.jpg",4.735,"2025-01-23T19:28:59.738564Z"
9,"1","No Trucks","2025-01-23T19:29:01.983068Z",9,"/data/upload/1/879077f5-img_450.jpg",4.098,"2025-01-23T19:29:01.983086Z"
10,"1","No Trucks","2025-01-23T19:29:06.003984Z",10,"/data/upload/1/656d9af0-img_451.jpg",6.2219999999999995,"2025-01-23T19:29:06.004001Z"
11,"1","No Trucks","2025-01-23T19:29:08.952291Z",11,"/data/upload/1/aad33dd9-img_452.jpg",4.439,"2025-01-23T19:29:08.952310Z"
12,"1","No Trucks","2025-01-23T19:29:12.016731Z",12,"/data/upload/1/2ccb8b12-img_453.jpg",10.383000000000001,"2025-01-23T19:29:12.016755Z"
13,"1","No Trucks","2025-01-23T19:29:15.257341Z",13,"/data/upload/1/222f9e07-img_454.jpg",3.985,"2025-01-23T19:29:15.257358Z"
14,"1","No Trucks","2025-01-23T19:29:17.375666Z",14,"/data/upload/1/8fe0b3cc-img_455.jpg",5.532,"2025-01-23T19:29:17.375686Z"
15,"1","No Trucks","2025-01-23T19:29:23.739265Z",15,"/data/upload/1/71ce66f7-img_456.jpg",6.52,"2025-01-23T19:29:23.739286Z"
16,"1","No Trucks","2025-01-23T19:29:26.357242Z",16,"/data/upload/1/c48d982d-img_457.jpg",5.304,"2025-01-23T19:29:26.357260Z"
17,"1","No Trucks","2025-01-23T19:29:28.752068Z",17,"/data/upload/1/e5e98ded-img_458.jpg",4.153,"2025-01-23T19:29:28.752085Z"
18,"1","No Trucks","2025-01-23T19:29:30.971078Z",18,"/data/upload/1/8c968575-img_459.jpg",3.7060000000000004,"2025-01-23T19:29:30.971095Z"
19,"1","No Trucks","2025-01-23T19:29:33.220321Z",19,"/data/upload/1/4c1fc328-img_460.jpg",3.374,"2025-01-23T19:29:33.220339Z"
20,"1","No Trucks","2025-01-23T19:29:36.055407Z",20,"/data/upload/1/a3978289-img_461.jpg",4.928,"2025-01-23T19:29:36.055428Z"
